"","D367T01","D367T02","D367T03","D367T07","D367T08","D367T09","D367T13","D367T14","D367T15","D367T19","D367T20","D367T21","D367T25","D367T26","D367T27"
"ENSG00000212135",3,2,0,1,1,1,3,1,1,1,0,1,2,0,1
"ENSG00000247675",0,0,0,3,1,1,1,1,0,2,0,0,4,0,2
"ENSG00000134569",6,13,4,13,28,10,4,23,9,4,10,3,21,11,6
"ENSG00000149179",209,216,269,302,204,259,246,152,119,286,209,247,374,201,202
"ENSG00000271350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000149182",1628,2130,2517,1955,2361,2403,1915,1672,1087,2172,2307,2700,3280,2186,1858
"ENSG00000270060",11,14,14,22,15,13,19,13,11,11,9,14,21,16,13
"ENSG00000165912",4,7,6,11,8,5,10,5,3,9,5,10,23,6,9
"ENSG00000275208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134574",828,991,1460,951,949,895,887,700,541,1046,1187,1274,1331,1267,1055
"ENSG00000256897",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ENSG00000134575",4188,11183,11221,4960,10491,8763,5780,9814,5064,5990,12314,11511,8168,12832,9590
"ENSG00000025434",6471,11057,13650,7553,10144,12102,7302,6810,6005,7418,10188,12069,10050,8930,10638
"ENSG00000110514",2319,4609,7202,2703,4467,6398,3145,3131,3766,2531,3702,5444,4253,3688,6129
"ENSG00000256746",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000283338",0,3,3,2,0,1,0,0,4,2,2,0,0,1,2
"ENSG00000134571",72,84,129,85,98,98,54,65,39,71,82,111,60,44,50
"ENSG00000066336",4500,6886,8612,8311,8620,7653,9832,5584,4195,8955,8049,9812,11729,6065,7077
"ENSG00000255197",245,111,85,268,78,99,353,54,39,275,74,89,570,49,54
"ENSG00000264583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000165915",902,1079,1645,1491,1537,1790,1719,1167,1158,1287,1107,1809,2981,1369,1797
"ENSG00000165916",2432,2014,2519,2323,2020,2079,2642,1546,1015,2904,1858,2048,5296,1948,1797
"ENSG00000165917",33,90,118,18,60,91,30,40,61,27,81,119,33,56,82
"ENSG00000149187",3163,8397,11505,4233,9664,10536,4668,7262,5684,3922,10005,12273,5984,8799,8994
"ENSG00000270072",1,1,0,3,1,2,1,2,0,0,0,0,0,0,0
"ENSG00000265559",0,0,0,0,5,2,1,0,0,0,0,0,1,0,2
"ENSG00000213619",1522,898,1040,2023,1258,1404,2234,818,607,1915,892,1092,2774,683,782
"ENSG00000110536",427,295,349,634,551,575,699,327,271,523,309,397,763,251,328
"ENSG00000123444",274,236,375,347,272,283,367,175,126,421,222,320,554,258,268
"ENSG00000200376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231880",23,26,46,14,39,70,32,35,37,23,28,45,34,23,42
"ENSG00000196666",71,6,10,54,12,14,51,5,5,55,4,1,73,4,7
"ENSG00000172247",2,0,1,5,2,6,3,2,0,2,1,3,3,1,2
"ENSG00000109919",2471,1201,1361,3040,1156,1142,3102,805,494,3086,920,1054,4732,832,817
"ENSG00000165923",6,25,36,17,22,29,3,22,19,2,27,36,5,42,31
"ENSG00000109920",1289,2240,2577,1374,2622,2750,1329,1771,1442,1340,2094,2513,1787,1660,1879
"ENSG00000200090",7,10,3,5,6,11,4,7,2,4,7,9,6,5,6
"ENSG00000030066",1383,1340,1691,2606,1137,1148,1808,895,666,2502,1470,1630,1994,1429,1303
"ENSG00000271543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252941",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000252874",3,1,3,4,3,2,2,0,0,1,3,3,1,0,2
"ENSG00000271557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254780",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000149177",5008,15333,23438,5038,15633,21502,5761,9548,10037,6063,16176,23198,9555,11595,14909
"ENSG00000254879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263693",0,0,0,0,3,1,0,1,0,0,2,3,0,0,0
"ENSG00000175619",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000255514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000182565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000184789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000220948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000182053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000086205",0,1,0,0,0,1,0,1,2,0,0,1,4,0,0
"ENSG00000255532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000123447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226268",1,1,1,2,1,1,3,1,0,2,2,1,0,0,1
"ENSG00000205035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000219061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254624",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255042",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000255001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000185926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000150244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254828",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255493",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254576",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000174982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000188439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000174970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000149133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000182365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000184741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000174957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255461",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000150261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000150269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000174937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000185701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238041",1,0,1,0,2,0,0,0,0,0,1,0,0,1,0
"ENSG00000174914",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254953",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000149115",1652,2010,1988,1653,3233,2516,1795,1876,1153,1587,1796,1542,2603,1956,1675
"ENSG00000254662",0,0,0,0,1,1,0,0,1,1,0,0,0,1,1
"ENSG00000149136",1890,878,1117,1961,1255,1281,1846,696,411,2590,997,1032,4266,828,698
"ENSG00000109991",0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
"ENSG00000156575",2,0,0,0,0,0,2,0,0,0,0,1,1,0,0
"ENSG00000186652",3,2,1,2,3,5,2,3,3,4,2,2,8,3,3
"ENSG00000254979",1,0,2,0,0,1,0,2,2,0,1,0,2,0,2
"ENSG00000134802",1702,1514,1699,1835,1831,1841,1654,1275,956,2049,1506,1438,4305,1134,1168
"ENSG00000252070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222998",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000186907",50,21,74,151,98,82,132,65,84,138,27,48,171,39,80
"ENSG00000255301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000149150",178,15,17,111,16,18,131,10,6,229,3,11,420,14,6
"ENSG00000265566",0,1,1,1,2,1,0,0,0,0,1,0,1,0,1
"ENSG00000134809",683,250,282,745,283,362,848,233,172,868,259,271,1389,239,249
"ENSG00000214872",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000156587",1044,8769,9687,1468,9436,8605,1503,6940,3672,1493,9800,10857,1842,10951,8644
"ENSG00000240371",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000149131",83,20388,25963,209,27125,28134,102,18040,13316,76,24908,29974,103,27337,25109
"ENSG00000254602",12,18,29,40,40,61,23,18,12,12,12,20,27,19,17
"ENSG00000208009",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
"ENSG00000166793",677,283,432,1033,868,964,846,399,344,845,579,659,839,399,527
"ENSG00000172409",435,427,554,488,417,447,483,296,210,577,485,565,763,417,387
"ENSG00000156599",3378,5242,6981,4283,6271,6532,4351,3892,3028,4658,6265,7195,6873,5649,5737
"ENSG00000156603",82,131,164,131,111,110,154,114,84,121,147,173,199,133,151
"ENSG00000213593",1517,790,790,1707,871,984,1688,567,315,1799,733,785,3114,622,496
"ENSG00000254462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213592",1,0,0,1,0,0,1,0,0,3,0,0,1,0,0
"ENSG00000211450",217,168,233,698,254,167,801,171,91,671,196,268,653,155,215
"ENSG00000254732",3,2,5,1,3,6,7,4,2,6,8,5,3,4,3
"ENSG00000233436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198561",3223,4572,6291,3861,4325,4574,3707,3471,2444,3971,4679,5756,6516,4958,4583
"ENSG00000255303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186509",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186508",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254589",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000172772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255431",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172365",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172362",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"ENSG00000285895",10,7,1,5,11,10,11,4,8,4,7,7,3,3,4
"ENSG00000255299",17,11,18,21,36,32,23,21,16,17,16,11,20,18,24
"ENSG00000198283",3,2,4,4,5,1,3,4,4,1,4,3,7,0,3
"ENSG00000110031",6106,4712,5450,8048,5536,6251,8072,3713,2576,8851,4722,4932,10026,3610,3124
"ENSG00000186660",1884,1964,2269,2102,1961,2223,2031,1429,929,2301,2155,2372,3219,1683,1512
"ENSG00000255073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269570",31,34,27,18,11,17,16,15,8,4,18,20,40,14,8
"ENSG00000242689",11,6,10,24,4,5,11,1,5,13,3,11,28,10,8
"ENSG00000280010",5,2,2,10,5,8,10,1,2,7,0,2,11,0,5
"ENSG00000149124",2,0,0,6,0,0,7,0,0,11,0,0,7,0,0
"ENSG00000197254",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"ENSG00000254926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
