gene	HC1	HC2	HC3	HC4	M1	M2	M3	S1	S2	S3	S4	S5	S6
CTNNBIP1	618	351	463	211	1392	1197	41	838	1960	44	257	165	103
LZIC	951	691	951	189	1511	1386	32	1131	2592	67	272	159	178
NMNAT1	257	145	242	37	326	325	8	150	304	20	37	17	16
RBP7	1382	1962	1369	163	1991	1243	33	282	600	24	188	158	118
UBE4B	332	225	520	83	576	493	16	484	1203	62	149	76	76
KIF1B	389	257	680	102	892	816	73	2390	4039	230	721	325	227
AL139424.3	7	5	12	0	0	0	0	0	6	2	0	0	0
AL139424.2	8	5	7	2	8	8	0	26	42	0	3	3	6
PGD	6108	3335	6168	1218	11022	13908	388	5896	23512	1660	2565	3398	1263
CENPS-CORT	12	16	0	0	7	9	0	7	9	1	2	1	1
CENPS	136	42	49	49	61	34	0	20	34	8	7	0	4
DFFA	687	400	599	138	1087	1026	26	533	1405	52	165	103	86
PEX14	780	348	613	195	1423	1534	37	325	615	67	95	44	49
CASZ1	77	25	57	66	146	114	7	199	494	25	51	32	22
C1orf127	8	0	16	0	22	15	0	6	5	2	6	2	0
TARDBP	1074	615	1302	192	874	784	41	1608	2493	118	234	111	149
AL109811.4	3	0	0	0	0	0	0	0	0	0	0	0	0
AL109811.3	21	5	14	0	25	25	0	23	29	3	5	1	8
SRM	1980	922	1303	612	2389	2048	77	1617	4412	133	698	318	409
EXOSC10	485	285	472	95	1637	1415	43	808	1624	96	237	136	110
AL109811.1	4	5	7	1	9	5	0	4	5	1	0	0	0
AL109811.2	54	35	30	12	24	27	0	3	4	0	1	1	1
MTOR	221	129	205	55	763	604	14	357	836	52	117	50	56
UBIAD1	221	137	238	48	507	568	14	430	840	39	123	66	64
FBXO2	6	1	2	11	0	2	0	3	10	0	0	0	2
FBXO44	142	66	122	23	265	282	4	84	250	12	36	12	18
FBXO6	1252	441	838	323	3952	3742	153	2471	11369	344	991	706	439
MAD2L2	639	297	524	129	847	755	36	836	3326	120	432	166	230
DRAXIN	7	6	3	3	17	4	1	11	23	1	3	0	2
AGTRAP	2294	1027	2365	545	5226	4501	134	4111	10951	641	1612	588	605
MTHFR	428	284	434	91	519	412	19	878	2434	103	272	79	121
CLCN6	161	94	234	37	378	305	12	570	1236	91	145	79	70
NPPA-AS1	25	10	44	2	36	27	4	83	183	13	20	23	18
KIAA2013	1132	545	1208	206	1190	1126	36	925	1651	85	234	157	114
PLOD1	817	346	697	136	1326	1271	46	816	1850	101	375	116	80
MFN2	477	274	501	99	1193	949	42	713	1431	57	218	59	81
MIIP	2140	712	1304	503	5202	4087	117	2538	7168	171	672	638	234
TNFRSF8	3	3	3	2	20	10	2	31	28	5	11	0	6
TNFRSF1B	896	692	1206	163	2643	1619	124	4389	10488	1334	1581	748	712
VPS13D	436	346	677	74	997	846	20	489	1071	85	136	63	77
DHRS3	2858	1327	2690	287	3128	2357	76	923	2236	103	288	206	108
AC254633.1	14	6	19	1	47	34	0	15	26	4	1	3	4
C1orf158	0	3	1	41	2	4	0	10	11	2	0	0	0
PRDM2	949	587	1538	146	1505	1278	44	1341	1992	131	192	150	145
KAZN	245	154	482	59	272	244	10	28	104	8	12	0	10
TMEM51-AS1	10	0	18	2	17	16	2	27	30	7	5	2	2
TMEM51	525	195	632	139	1268	1301	60	2063	5633	177	584	387	195
FHAD1	305	165	290	173	404	534	15	288	691	14	90	12	26
AL031283.2	5	0	7	0	5	13	0	0	5	0	0	0	1
AL031283.1	11	6	10	8	19	21	0	6	10	0	4	3	1
EFHD2	7149	2475	8292	2082	5814	5440	311	5962	14998	683	2073	913	1787
CTRC	3	0	0	0	6	3	0	8	10	1	1	3	6
CELA2A	162	34	21	8	0	5	0	0	0	0	0	0	0
CELA2B	240	42	16	43	38	171	0	0	0	0	0	0	0
CASP9	210	76	183	83	492	513	27	343	526	41	99	68	34
DNAJC16	444	281	572	66	367	947	8	400	571	26	62	22	52
AGMAT	16	5	3	1	3	1	0	5	36	5	3	3	2
DDI2	839	493	1054	133	1190	1212	36	854	1756	82	156	74	102
PLEKHM2	851	402	1104	169	1885	1521	113	3054	5950	494	744	707	345
SLC25A34	36	29	52	8	114	88	6	285	383	34	47	91	45
FBLIM1	22	7	8	3	72	36	5	19	30	2	20	4	5
UQCRHL	42	30	27	11	47	64	1	32	135	6	11	13	12
AL450998.2	61	64	134	8	306	289	17	383	923	48	82	77	56
SPEN	577	382	1267	88	2032	1614	53	1842	4041	269	458	273	202
ZBTB17	212	95	240	45	560	493	18	529	1525	88	175	114	66
CLCNKB	4	0	0	0	0	0	0	1	0	0	0	0	0
EPHA2	13	5	12	29	65	28	1	17	27	5	9	3	3
AL451042.2	6	4	2	0	14	19	0	0	2	0	1	1	2
AL451042.1	4	3	0	0	7	0	0	1	1	0	0	0	0
ARHGEF19	28	17	30	9	131	91	3	52	118	6	12	15	11
CPLANE2	38	14	27	22	76	65	3	30	76	4	9	7	2
FBXO42	520	268	686	94	939	858	34	436	1023	74	107	76	35
SZRD1	1593	766	1008	488	4592	3604	132	2595	8055	384	1044	553	473
NECAP2	2837	1293	2091	663	5174	4328	156	2541	7089	374	733	514	332
LINC01772	112	63	132	9	43	24	0	39	78	6	5	4	5
AL137802.2	8	8	6	5	5	5	0	5	9	2	4	2	5
AL137802.1	6	8	0	0	0	0	0	0	3	0	0	0	0
NBPF1	330	374	366	58	1134	1014	16	147	250	32	51	20	23
CROCC	31	25	55	52	175	139	1	129	206	24	38	28	15
BX284668.5	1908	1273	1097	162	1703	1558	45	772	2198	188	213	89	132
BX284668.6	5	3	7	1	4	1	0	13	71	3	6	6	10
ATP13A2	294	197	239	73	758	522	27	1465	2383	106	256	208	69
SDHB	3621	1882	1877	692	5255	5627	155	3950	9464	386	1115	799	433
PADI2	89	167	140	10	215	324	6	170	443	23	51	20	3
PADI4	3	0	42	3	5	5	0	18	147	5	48	1	7
PADI6	4	0	3	0	0	6	0	13	25	0	0	0	0
RCC2	851	314	1062	212	1548	1684	58	1060	2812	157	407	91	183
ARHGEF10L	1128	579	1073	242	1922	1830	74	1461	2797	216	362	178	139
KLHDC7A	2	2	0	7	3	2	0	4	2	0	0	0	0
ALDH4A1	82	34	55	7	100	115	2	67	175	12	69	15	9
IFFO2	31	12	18	14	38	49	3	115	252	11	15	30	12
UBR4	721	409	928	148	2518	1882	92	3479	9479	533	866	831	729
AL035413.1	49	37	36	4	60	44	2	18	89	7	10	12	10
EMC1	568	265	665	83	597	756	19	557	1014	41	136	35	77
MRTO4	766	310	855	150	855	1150	30	352	926	47	172	81	157
AKR7A2	1791	957	1518	293	1781	2137	46	801	2138	92	432	90	95
PQLC2	267	145	283	51	378	422	13	598	1250	90	210	112	92
CAPZB	6518	2727	4512	1329	9034	8743	362	8019	21858	851	3114	2016	1695
MINOS1	14776	7927	7168	2117	7671	6085	310	6523	11097	628	1961	837	1308
NBL1	14	4	4	18	14	8	2	75	51	6	36	3	9
TMCO4	253	139	218	54	573	429	16	207	485	21	91	26	15
OTUD3	54	58	115	11	96	101	2	92	214	18	20	12	17
PLA2G2D	10	14	0	0	40	62	0	22	13	0	5	0	0
Z98257.1	12	10	5	3	25	24	0	10	6	0	5	0	0
PLA2G2C	7	8	0	0	4	5	0	23	13	0	6	0	0
UBXN10-AS1	31	15	6	1	15	36	0	8	28	0	7	0	0
UBXN10	95	49	23	73	48	188	3	31	16	2	8	1	12
CAMK2N1	3	0	0	0	1	2	0	1	11	0	1	1	0
MUL1	349	170	422	71	635	567	24	391	924	53	158	69	66
CDA	118	177	396	44	55	106	3	343	1436	31	370	53	65
PINK1	672	315	691	158	489	680	23	315	549	49	90	45	29
PINK1-AS	13	4	14	1	20	10	0	8	21	3	3	1	3
DDOST	1807	979	1638	345	5393	5975	170	2150	6313	303	1285	702	476
KIF17	22	0	31	44	180	152	5	16	30	4	5	3	5
HP1BP3	3422	2140	3809	426	5025	4597	129	3137	6633	335	663	341	360
EIF4G3	503	290	768	90	1179	1171	37	1595	3074	146	422	153	146
ECE1	42	21	21	22	116	98	7	777	1352	69	223	39	100
NBPF3	22	42	2	2	18	137	1	20	15	3	7	4	5
USP48	488	352	776	132	1152	1080	26	802	1551	65	182	106	126
HSPG2	2	0	1	3	3	3	0	12	13	4	4	0	2
LINC01635	17	7	10	1	4	10	0	4	16	0	6	6	5
CDC42	25309	10147	18973	2448	15010	12889	359	12401	26773	1202	2898	2328	2078
AL031281.2	3	0	6	0	0	0	0	7	25	0	0	0	0
ZBTB40	184	98	203	45	424	383	15	333	544	67	57	39	25
C1QA	214191	93747	124454	34257	196105	242997	4562	41263	63237	7540	9931	9691	7327
C1QC	62337	21312	19337	13358	320395	264568	10074	70164	67956	8517	16535	14509	7657
C1QB	253226	120112	99068	41368	281645	311198	7739	71160	81587	6709	13894	5671	9295
EPHB2	15	7	70	7	117	274	24	1358	1606	89	195	283	99
TEX46	4	0	0	0	3	2	0	0	2	0	0	0	0
KDM1A	485	266	611	104	921	934	22	362	603	30	98	53	63
LUZP1	937	549	613	183	1246	1277	37	490	1259	64	166	63	63
LINC01355	115	82	126	8	68	63	1	8	44	7	2	2	7
AL109936.6	4	0	2	0	1	0	0	0	0	0	0	0	0
HNRNPR	2210	1368	2941	416	3651	3605	110	2643	7195	240	620	371	443
ZNF436	68	48	93	8	149	148	7	65	195	10	10	15	12
ZNF436-AS1	89	49	48	13	75	72	2	11	22	1	2	0	2
TCEA3	543	674	368	166	3511	2683	76	30	167	0	22	1	25
ASAP3	5	5	2	7	19	12	3	9	19	2	5	0	3
E2F2	5	4	1	1	9	4	0	20	56	2	3	5	5
ID3	1194	609	462	658	2499	2915	19	439	1436	117	217	287	22
MDS2	0	0	0	1	0	0	0	2	1	0	0	0	0
RPL11	133453	90663	74883	17815	95557	81165	2618	57518	120748	4733	16876	8270	8281
ELOA	761	397	678	157	987	964	38	809	1692	100	161	177	89
ELOA-AS1	115	90	92	15	181	188	4	31	96	7	14	7	14
PITHD1	994	522	910	203	1587	1310	48	1057	2064	146	421	370	232
LYPLA2	675	270	815	228	2076	1727	48	1190	3543	136	491	381	297
GALE	542	231	360	148	814	895	36	548	1045	46	176	161	139
HMGCL	1207	569	869	162	1511	1398	44	663	1615	116	120	145	122
FUCA1	2281	1887	3940	546	3562	3872	136	688	1506	88	364	292	275
PNRC2	1744	999	1729	343	5788	4071	134	3695	7742	515	991	585	486
SRSF10	1717	895	1939	329	2940	2551	92	2961	5607	248	574	309	376
IFNLR1	227	147	288	39	363	434	9	125	137	25	46	2	13
AL590683.1	9	2	67	0	0	31	0	0	0	0	0	0	0
STPG1	227	131	151	65	244	313	3	66	138	9	20	8	14
NIPAL3	293	168	290	52	347	392	7	87	196	5	31	9	12
RCAN3	660	259	610	132	462	560	13	484	911	18	159	39	100
AL445686.2	55	50	14	8	13	11	0	7	14	1	1	1	1
SRRM1	6184	4555	4709	574	7550	6697	202	6702	12889	486	1549	1026	543
CLIC4	2537	1212	2689	620	3823	4541	134	2260	6306	301	618	284	370
RUNX3	119	58	232	39	529	370	34	954	3001	119	275	129	101
SYF2	6477	4218	3717	638	5108	4707	133	4266	7058	473	645	510	441
AL031432.5	3	0	2	1	7	4	0	4	12	1	2	1	2
RSRP1	3015	1982	4498	433	4386	4059	180	2940	8093	687	526	621	453
TMEM50A	7364	3581	7287	1108	11453	11623	511	13590	31952	1159	2742	2558	1600
RHCE	4	0	2	1	4	11	0	5	25	0	2	0	1
MACO1	409	235	481	72	728	731	21	534	737	38	141	58	56
LDLRAP1	246	94	250	52	243	390	8	145	271	12	54	41	32
AL606491.1	18	3	7	0	7	4	0	1	5	0	0	0	2
MAN1C1	149	89	228	20	167	177	8	86	102	4	26	12	4
AL031280.1	27	6	28	2	3	0	0	0	0	0	0	0	0
SELENON	1238	405	1549	338	843	1577	38	781	1644	60	328	137	73
AL020996.1	17	7	20	3	23	28	1	8	19	0	3	3	4
MTFR1L	362	198	437	122	726	624	25	371	754	50	154	65	58
AUNIP	1	0	2	0	1	3	0	1	4	2	0	0	0
PAQR7	30	24	35	8	2	7	1	2	12	4	4	0	0
STMN1	10702	5952	5322	1453	5823	6741	87	655	2356	85	152	80	236
PAFAH2	344	253	555	76	407	498	6	175	364	16	55	22	17
PDIK1L	161	95	216	28	210	212	5	85	146	6	13	6	14
ZNF593	1727	852	1104	372	1927	1892	51	1307	3231	111	339	272	348
CNKSR1	2	1	3	23	6	3	0	13	23	0	2	0	4
CEP85	221	106	243	23	280	283	4	160	297	28	46	32	37
SH3BGRL3	77125	33933	48788	18485	68551	67375	2681	100121	309327	6533	35106	25802	27078
UBXN11	1895	1001	1878	325	2585	2488	50	987	2464	73	399	118	251
CD52	152817	52666	60284	27991	30960	52692	1153	9336	37964	569	8242	1071	4962
CRYBG2	2	0	2	0	4	3	0	9	10	0	6	2	0
ZNF683	17	7	12	3	57	42	2	25	41	1	2	0	13
DHDDS	500	204	507	79	681	674	27	615	1256	67	150	182	113
HMGN2	18616	10606	14935	3949	45460	36930	906	13710	24509	926	3330	3051	2231
RPS6KA1	2562	1007	2756	488	3610	3488	89	2006	4299	169	712	402	355
ARID1A	1378	813	2021	239	1618	1414	45	1845	4090	201	351	333	200
PIGV	206	105	226	41	407	532	12	185	540	19	46	25	28
ZDHHC18	291	172	429	44	343	350	13	232	553	55	72	45	27
GPN2	505	217	374	90	722	636	16	322	975	48	116	76	68
GPATCH3	278	128	256	51	899	667	22	532	1396	72	163	115	71
NUDC	3292	1735	2214	627	4146	4110	151	2162	5876	297	629	544	402
SLC9A1	624	300	865	125	1102	1249	22	343	731	51	90	68	36
WDTC1	282	152	308	89	540	537	9	260	537	42	95	46	37
TMEM222	474	202	503	102	1065	1033	34	448	906	59	216	137	133
SYTL1	261	144	515	74	116	291	2	59	153	12	42	8	11
MAP3K6	90	17	75	23	152	139	6	213	308	26	71	36	21
CD164L2	2	2	0	71	2	1	0	7	15	1	5	0	0
WASF2	4231	2181	3148	780	7482	6185	152	4870	13347	536	1456	396	588
AHDC1	22	16	26	13	44	35	2	89	164	13	25	17	17
FGR	3273	1831	3373	793	6580	6376	402	9282	27400	915	2745	1397	1732
LINC02574	2	4	4	1	8	0	0	22	35	2	3	3	3
IFI6	34443	11932	15942	2596	186045	197900	6855	60105	167790	9654	19279	20472	7025
FAM76A	768	263	818	120	472	408	11	496	795	24	92	59	69
STX12	3159	1628	3867	654	4810	4390	163	2862	6772	284	756	365	398
PPP1R8	518	306	441	130	539	461	16	549	930	36	116	91	76
THEMIS2	3808	1476	2733	1315	8447	7432	215	4580	13332	612	1423	1003	619
RPA2	1173	754	1025	175	1393	1543	38	549	1355	76	133	179	115
SMPDL3B	9	4	7	2	27	42	0	5	14	0	0	2	0
XKR8	93	53	119	50	268	236	8	290	820	27	132	28	39
EYA3	318	199	386	55	432	377	11	427	922	69	125	63	87
PTAFR	2117	1046	1601	455	7706	7617	204	7596	17180	770	1726	1203	569
DNAJC8	4936	3013	2847	511	5322	5163	203	5946	9948	566	1049	1017	750
ATP5IF1	10625	5991	4798	1604	10178	10726	279	3525	7313	457	1050	642	470
AL353622.1	34	14	78	23	26	31	0	9	19	2	0	1	5
SESN2	329	172	399	187	512	470	25	293	846	69	93	251	44
MED18	225	99	150	55	313	332	8	67	263	7	26	19	12
PHACTR4	762	493	1139	124	4760	3477	133	3190	5461	363	683	353	170
RCC1	145	115	110	52	387	363	16	298	576	89	88	61	35
TRNAU1AP	805	413	914	126	1019	1069	45	886	2334	112	221	252	198
SNHG12	777	445	1082	110	2789	2574	79	873	2627	286	287	501	284
TAF12	1455	787	1169	293	1861	1608	62	1249	2479	80	312	223	218
RAB42	515	275	390	127	1363	909	64	1152	1498	103	312	293	143
LINC01715	33	23	15	6	24	29	0	8	33	1	4	1	2
GMEB1	331	163	342	60	499	438	13	521	1661	56	139	103	93
YTHDF2	2106	1078	2158	388	2411	2475	80	2534	4182	183	470	379	345
EPB41	320	213	243	56	903	656	17	403	1098	77	125	58	43
SRSF4	1791	1122	2318	391	4179	3540	155	3219	8318	329	698	359	286
MECR	699	378	459	99	611	710	11	129	367	9	41	28	26
PTPRU	4	3	6	13	62	39	2	72	133	8	10	6	1
AL137076.1	7	3	6	0	0	2	0	0	0	0	0	0	0
MATN1-AS1	12	4	21	1	28	17	1	17	47	4	7	16	6
LAPTM5	32105	15377	26004	5966	63124	63945	2085	38341	101950	4366	14227	8581	5841
SDC3	153	124	88	103	1049	577	50	2938	3327	128	540	277	195
PUM1	1061	672	1963	188	3083	2361	63	2441	4632	203	454	270	198
SNRNP40	1250	523	1027	163	2276	2108	47	931	1663	68	228	164	149
ZCCHC17	1408	810	789	250	1912	1803	50	824	1697	90	198	140	112
FABP3	3535	342	432	299	87	655	22	518	800	66	172	8	96
SERINC2	1063	268	821	291	880	1001	45	715	1864	98	187	57	123
TINAGL1	1	5	9	5	2	8	0	1	20	1	0	1	3
PEF1	962	416	731	226	2974	2724	75	1189	3568	207	547	325	266
AC114488.3	9	4	3	0	7	4	1	10	9	0	6	2	2
SPOCD1	1865	264	1920	401	300	596	33	52	375	5	185	10	81
AL354919.1	11	12	7	1	1	0	0	0	0	0	0	0	0
AL136115.2	15	11	34	0	0	4	0	7	14	0	0	1	4
PTP4A2	4708	2373	5117	1345	5223	4133	137	4504	7757	414	1125	947	729
KHDRBS1	2900	1593	3246	605	5808	4901	167	4577	12343	356	1192	623	625
TMEM39B	304	168	240	48	519	644	10	199	487	16	80	52	20
KPNA6	1100	626	872	215	1397	1314	32	961	2098	120	272	109	118
TXLNA	558	263	646	117	1243	1051	43	930	2481	93	307	161	150
CCDC28B	89	50	42	17	184	97	4	33	146	7	17	9	3
AL049795.1	5	2	9	1	4	7	0	1	2	0	1	0	0
IQCC	25	11	7	11	26	27	1	4	15	3	5	1	0
DCDC2B	5	3	0	43	3	9	0	9	11	1	0	0	0
TMEM234	359	158	311	88	517	484	13	407	745	46	88	83	67
EIF3I	3644	1646	1999	649	3623	3879	138	1959	6125	293	752	489	533
FAM167B	1	0	3	0	2	0	0	1	6	0	0	0	1
LCK	82	5	24	5	68	34	3	77	189	1	4	13	23
HDAC1	869	429	746	200	838	808	25	637	1522	56	166	85	133
MARCKSL1	103	31	70	36	447	109	48	2136	3589	177	431	148	327
TSSK3	14	4	6	2	9	16	0	5	29	0	0	0	2
FAM229A	56	34	63	3	34	53	3	46	68	9	15	9	8
BSDC1	831	474	607	164	1120	1096	42	710	1501	120	199	143	123
ZBTB8A	110	73	150	31	107	144	2	32	46	3	12	6	4
ZBTB8OS	6191	4145	3472	870	4377	4444	117	2851	5590	247	446	403	451
RBBP4	3835	2099	3137	370	3130	3233	111	1955	3602	186	513	361	278
SYNC	1139	668	379	83	147	201	3	53	87	0	5	2	19
KIAA1522	117	48	61	53	302	122	20	274	359	13	29	31	24
YARS	423	241	552	99	1098	1027	51	761	2121	102	239	290	169
S100PBP	500	336	663	57	544	459	11	331	775	40	50	54	43
FNDC5	41	6	5	0	0	1	0	0	6	0	4	0	0
